Price,Close,High,Low,Open,Volume
Ticker,QQQM,QQQM,QQQM,QQQM,QQQM
Date,,,,,
2020-10-13,117.09630584716797,117.98625532468753,116.62230475961906,117.12532481575144,13100
2020-10-14,116.05158233642578,117.74345763183437,115.47021399896796,117.36716307497599,37800
2020-10-15,115.2167739868164,115.38412016027551,113.94182124134421,114.1749471918283,30600
2020-10-16,114.62957000732422,116.47718940394878,114.62957000732422,115.9838448842955,51000
2020-10-19,112.64656066894531,115.91616938574329,112.43858644262943,115.91616938574329,50600
2020-10-20,113.0721664428711,114.22910215296203,112.49176497409243,113.09151734061327,49800
2020-10-21,113.21726989746094,114.14591373373791,112.85935208735417,113.13020561707597,28200
2020-10-22,112.90774536132812,113.5161991224764,111.68889684466956,113.28500676740227,24800
2020-10-23,113.17858123779297,113.17858123779297,112.02744629772572,113.16890578832364,40600
2020-10-26,111.41802978515625,113.15924174124888,110.1305012206496,112.2209223749215,74400
2020-10-27,112.2983169555664,112.64655938747923,111.37934838147832,111.84367408409764,46900
2020-10-28,108.04203796386719,110.54744110244673,107.85824128968939,110.54744110244673,138800
2020-10-29,109.80257415771484,110.92371595801444,108.34285804313762,108.49666890903396,79600
2020-10-30,107.2391128540039,109.31889144863328,106.10732893746305,109.01901158973945,130600
2020-11-02,107.27781677246094,108.57404652569907,106.11700640785706,108.00332048276135,74100
2020-11-03,109.72615051269531,109.9186484137608,107.67442385211896,108.06136064830663,61800
2020-11-04,113.94278717041016,114.67990001000413,112.18223163712439,112.64654992051511,109700
2020-11-05,116.97057342529297,117.3371999833374,116.09996727114294,116.57396846519575,146500
2020-11-06,117.04794311523438,117.26075873809505,115.18581379540957,116.69002526040451,47100
2020-11-09,114.62957000732422,118.70206270592615,114.62957000732422,118.21839363416528,154000
2020-11-10,112.51790618896484,113.83638747387437,111.5834539532085,113.32369928349146,84200
2020-11-11,115.21966552734375,115.30672243186316,113.63323130543074,113.63323130543074,65800
2020-11-12,114.55223083496094,116.0225895833259,114.14595040983674,115.57761473006501,44900
2020-11-13,115.64530944824219,115.71108184721878,114.43903686122167,115.29706703148844,39900
2020-11-16,116.14833068847656,116.55557788484536,115.1422977863361,115.5582536268345,47000
2020-11-17,116.1386489868164,116.69003159406222,115.9451842538274,116.62231819949541,29000
2020-11-18,115.64334869384766,116.53523909844228,115.50792193049578,115.94516218089262,35200
2020-11-19,116.20635223388672,116.20635223388672,114.92946591912406,115.0842435961648,52700
2020-11-20,115.49052429199219,116.36983892050281,115.49052429199219,116.14831466107627,37000
2020-11-23,115.4034652709961,116.24504489148215,114.49416488267663,115.8581080849501,50500
2020-11-24,117.08663940429688,117.15435279626897,115.18581563359898,115.8871418692745,90900
2020-11-25,117.74348449707031,117.96596823408827,117.23369666005995,117.4252278065832,44200
2020-11-27,118.74078369140625,119.27282274149495,118.42349387532339,118.54731897148636,35500
2020-11-30,118.99230194091797,119.1374041809717,117.183376426022,118.95360751822321,84000
2020-12-01,120.64643859863281,121.2268401249223,119.63943903533924,120.0176672034001,92800
2020-12-02,120.76252746582031,120.83991631237161,119.40825955220566,120.10474441075412,140900
2020-12-03,120.93663787841797,121.51027176643782,120.66578431988762,120.86892448878538,93200
2020-12-04,121.35260009765625,121.42998894139664,120.70448513679477,120.96567063936699,74300
2020-12-07,121.7201919555664,122.20289434581413,121.38162499352046,121.51705177833884,76700
2020-12-08,122.46988677978516,122.58112863423277,121.2162110805205,121.90398729624943,54800
2020-12-09,119.80485534667969,122.48438675774555,119.33957025617194,122.45536040734558,148700
2020-12-10,120.20146942138672,120.59807432032463,118.44188066825073,118.93425112234631,128300
2020-12-11,119.92093658447266,119.96929907391127,118.6053558363652,119.51465624819987,54200
2020-12-14,120.81087493896484,121.59441656944264,120.47230802333895,120.47230802333895,184100
2020-12-15,122.10710906982422,122.10710906982422,120.91727978940624,121.7782102310904,64300
2020-12-16,122.76492309570312,123.08413916709098,121.86529806497774,122.31027285498509,84900
2020-12-17,123.58716583251953,123.61328438467841,122.94871889548673,123.45173903621686,57900
2020-12-18,123.2679214477539,123.92571179541235,122.24254519824731,123.92571179541235,84300
2020-12-21,122.94432067871094,123.11872382591122,120.9096222228119,122.19826728867199,85100
2020-12-22,123.2834243774414,123.69036994445686,122.36296792590318,123.29311549364922,59000
2020-12-23,122.72146606445312,123.53534241921552,122.67301787526954,123.53534241921552,69000
2020-12-24,123.23497772216797,123.40938084483902,122.82706380213938,123.01212641291673,32000
2020-12-28,124.48487854003906,124.6583133187674,123.60317905862989,124.43643034552089,59200
2020-12-29,124.6302261352539,125.26969205168136,124.26591107935938,125.06623032782696,66600
2020-12-30,124.53330993652344,125.33750254724697,124.34921569277438,125.33750254724697,89900
2020-12-31,124.90149688720703,124.99160726319839,124.20873363893742,124.77553455686308,73500
2021-01-04,123.12841796875,125.57006208955438,121.54909848802745,125.57006208955438,160800
2021-01-05,124.11184692382812,124.18451181840861,122.81836005520283,122.81836005520283,66600
2021-01-06,122.40171813964844,124.09730116537217,121.84944282124178,122.44047521015219,469300
2021-01-07,125.43439483642578,125.69986192067394,123.61284947464996,123.61284947464996,97100
2021-01-08,127.06217956542969,127.12031149008278,125.47317622621544,126.46146329826165,78400
2021-01-11,125.16310119628906,126.25796823080529,124.95189251022582,125.94792641676133,69500
2021-01-12,125.12434387207031,125.59911246519127,123.97134499185618,125.26967365347906,122100
2021-01-13,125.8025894165039,126.10294752405036,124.91119881902908,124.98871297328513,56600
2021-01-14,125.12434387207031,126.36066713153366,124.98869781465167,126.21921083972096,90000
2021-01-15,124.11669921875,125.47315989852251,123.73881958120619,124.82399551718048,102700
2021-01-19,125.98666381835938,126.1319935944771,124.79200279201466,125.1824712271159,82300
2021-01-20,128.93215942382812,129.26158348355352,127.36252370903658,127.59506616642015,120500
2021-01-21,129.978515625,130.19361251391624,128.9127296860981,129.54251161434433,159700
